nome_piatto,photo_id
Acqua,photo-1729537378649-066872523a70
Pepsi grande,photo-1677948156386-3446fed7aa40
Fanta lattina,photo-1787453712989-3bf7db8211c4
Coca cola lattina,photo-1622483767028-3f66f32aef97
Coca cola grande,photo-1648569883125-d01072540b4c
Acqua Ferrarelle,photo-1538300342682-cf57afb97285
Heineken,photo-1618885472179-5e474019f2a9
Messina,photo-1695285406073-0424d330c075
Patatine fritte,photo-1672774750509-bc9ff226f3e8
Insalata,photo-1572357176061-7c96fd2af22f
Verdura di stagione,photo-1663840344832-2b69b167acd7
Tiramisù,photo-1695028378225-97fbe39df62a
Panna cotta,photo-1713551474564-c3916a5eb3bf
Crostata a limone,photo-1519915028121-7d3463d20b13
Babbà,photo-1780490088797-b2e06c20b892
Zeppolone,photo-1641349268827-05362f5e726c
Millefoglie,photo-1675706599652-ea0891fc2df1
Croccante amarena,photo-1661288452010-951ca57991fc
Croccante nocciola,photo-1692785049138-369b03739c96
Waffle nutella,photo-1662478839792-c7cecefdd144
Sorbetto al limone,photo-1712167959973-9938de8e5593
Pan di stelle,photo-1558961363-fa8fdf82db35
Tortino cuore caldo,photo-1605807646983-377bc5a76493
Frutta,photo-1722938907462-52647cd1f48c
Spaghetto riccio di mare,photo-1723780917550-eccbe71fad8d
Spaghetto alle vongole,photo-1661445014453-784cd6c59ac8
Linguine con astice,photo-1708077043752-e71f1da52c77
Pacchero frutti di mare,photo-1563379926898-05f4575a45d8
Pasta pescato del giorno,photo-1661455803353-f69a605b5105
Risotto alla pescatora,photo-1694462932014-36b551a28609
Ravioli limone crostacei,photo-1701098716473-907296c2b28f
Linguine agli scampi,photo-1635475556713-8d3ff880d9ba
Pasta con aragosta,photo-1632389762435-8c53185e40ae
Spaghetto polipetti,photo-1718903383019-7122fba4436d
Spaghetto Granchio,photo-1708077041271-aa4912a349a7
Spaghetto spezzato mare,photo-1616299806579-c2e2c4ee8e57
Pasta e fagioli di mare,photo-1705411218042-2eb8275204db
Pasta con cicala,photo-1569494315581-abddb8d41cfe
Ravioli Capresi,photo-1628885363743-fbf9c98d4196
Ziti alla genovese,photo-1661293863488-4bed6c84c77a
Risotto funghi,photo-1609770424775-39ec362f2d94
Pennette al pomodoro,photo-1664478288635-b9703a502393
Bistecca,photo-1588168333986-5078d3ae3976
Cotoletta,photo-1668616816673-fe8086e1b910
Pescato alla brace,photo-1556814901-18c866c057da
Pescato all'acqua pazza,photo-1781606557239-db0d2110d195
Pescato al forno,photo-1665401015549-712c0dc5ef85
Pescato con patate,photo-1695758774479-faae1180b078
Frittura di pesce,photo-1697748836791-9ddf7e616ece
Frittura gamberi e calamari,photo-1682264895449-f75b342cbab6
Gamberoni alla brace,photo-1738099524754-251c3c2d2b40
Calamaro alla brace,photo-1667443306658-4664947ffa46
Pesce spada alla brace,photo-1701015785997-30de0ba44aa0
Locale,photo-1634832296440-b5bac2df86c3
Locale con percoche piccolo,photo-1691664005877-44891c398a2c
Locale con percoche grande,photo-1595232878814-74d5a59ed9e1
Prosecco Valdobbiadene,photo-1661344235865-7d203ccabebd
Muller Santamargherita,photo-1697115355209-46e7bce340fb
Vino DOC 25,photo-1630369160812-26c7604cbd8c
Vino DOC 20,photo-1719997502353-88e25b8f266c
Vino DOC 30,photo-1682097091093-dd18b37764a5
